country,priority1,priority1Response,priority2,priority2Response,priority3,priority3Response,priority4,priority4Response,priority5,priority5Response,priority6,priority6Response
 The former Yugoslav Republic of Macedonia,100,112,104,91,105,92,110,50,113,69,115,194
 Timor-Leste,101,31,104,32,105,45,109,23,111,26,115,53
 Togo,100,162,104,184,105,222,106,111,109,97,115,335
 Tonga,100,13,103,14,105,14,106,7,110,9,115,26
 Trinidad and Tobago,100,139,104,167,106,146,109,128,111,143,115,214
 Tunisia,102,1579,105,2171,105,1899,109,1404,111,1608,115,4806
 Turkey,100,1239,105,1374,106,1209,110,779,113,1112,115,1901
 Turkmenistan,104,25,104,31,105,30,106,15,112,16,115,39
 Tuvalu,100,10,104,8,104,8,105,8,113,11,115,22
 Uganda,101,789,104,837,105,781,105,414,111,500,115,1403
 Ukraine,101,15085,104,12188,105,11041,106,8649,111,10931,115,21185
 United Arab Emirates,102,374,104,511,105,517,109,315,111,408,115,833
 United Kingdom of Great Britain and Northern Ireland,100,8783,103,5899,105,6339,109,5915,113,5279,114,6748
 United Republic of Tanzania,103,8296,104,11100,105,11417,109,7603,114,7566,115,24541
 United States of America,100,15625,105,11036,105,11191,109,9895,113,9586,115,13168
 Uruguay,100,550,105,391,105,436,109,361,111,354,115,533
 Uzbekistan,100,75,104,86,105,97,111,50,111,75,115,164
 Vanuatu,100,14,105,11,106,10,105,9,114,8,115,20
 Venezuela (Bolivarian Republic of),100,874,105,1229,106,1086,109,868,111,1215,115,1819
 Viet Nam,100,1327,104,916,105,1106,106,656,111,735,115,1502
 Yemen,102,110068,105,106897,106,110678,109,95408,111,82341,115,254705
 Zambia,101,3479,104,3883,105,4186,105,3889,109,2970,115,9415
 Zimbabwe,101,4222,104,4910,105,4595,106,2709,111,3093,115,9240
 Palestine (State of),102,388,104,351,105,320,111,322,114,352,115,1055
